name,address1,address2,town,postcode,access_notes,general_notes,url,lat,lng,phone,fax,text_phone
Town Hall ,St Mary's,Isles of Scilly,,TR21 0LW ,,,http://www.scilly.gov.uk/community/,49.9144593380037,-6.315238848868414,,,
Town Hall,Macclesfield,,,SK10 1DP,,,http://www.cheshireeast.gov.uk/Default.aspx,,,,,
County Hall,Chester,Cheshire,,CH1 1SF,,,http://www.cheshirewestandchester.gov.uk/community_and_living/int_registration.aspx,53.185783545940446,-2.891297452753818,,,
Priory House,Monks Walk,Chicksands,,SG17 5TQ,,,http://www.centralbedfordshire.gov.uk/community-and-living/registration/,52.035605673775294,-0.3605392318217263,,,
Milton Court [Ground Floor],Moor Lane,London,,EC2Y 9BJ,,,http://www.cityoflondon.gov.uk/Corporation/LGNL_Services/Community_and_living/,,,,,
198 Longbridge Road,Barking,,,IG11 8SY,,,http://www.barking-dagenham.gov.uk/8-leisure-envir/bdm-reg/bdm-menu.html,51.544835050823856,0.09200627645564644,,,
182 Burnt Oak Broadway,Edgware,Middlesex,,HA8 0AU,,,http://www.registeroffice.barnet.gov.uk,51.60256273512416,-0.26935542999446543,,,
Manor House,The Green,Sidcup,,DA14 6BW,,,http://www.bexley.gov.uk/service/registrars/index.html,51.424229141656525,0.10222981457748379,,,
Brent Town Hall,Forty Lane,Wembley,,HA9 9HD,,,http://www.brent.gov.uk/registrar.nsf,51.5665271921465,-0.2739993741665474,,,
Civic Centre,Stockwell Close,Bromley,,BR1 3UH,,,http://www.bromley.gov.uk/community/BirthsDeathsMarriagesPartnerships/brom_registration_service.htm,51.40387921224747,0.020377063720750876,,,
Camden Town Hall,Judd Street,London,,WC1H 9JE,,,http://www.camden.gov.uk/ccm/navigation/community-and-living/births--deaths-and-marriages/,51.52907741110608,-0.12537901759184236,,,
Croydon Register Office,Mint Walk,Croydon,,CR0 1EA,,,http://www.croydon.gov.uk/community/registeroffice/,51.371559527075696,-0.10005340290043842,,,
Town Hall,New Broadway,Ealing,,W5 2BY,,,http://www.ealing.gov.uk/services/community/births_deaths_marriages/,51.51332788520856,-0.30727005022615134,,,
1 Gentlemans Row,Enfield,,,EN2 6PS,,,http://www.enfield.gov.uk/319/index319.htm,,,,,
Town Hall,Wellington Street,Woolwich,,SE18 6PW,,,http://www.greenwich.gov.uk/Greenwich/CommunityLiving/BirthsDeathsMarriages/,51.489565599789714,0.06459765922997579,,,
Ground Floor,Hackney Town Hall,Mare Street,,E8 1EA,,,http://www.hackney.gov.uk/print/lr-registrars,51.54503221642567,-0.056434331970879416,,,
Fulham Town Hall,Harwood Road,,,SW6 1ET,,,http://www.lbhf.gov.uk/Directory/Community_and_Living/Birth_marriage_and_death/,51.4796033377747,-0.19490764102995847,,,
Civic Centre,High Road,Wood Green,,N22 8LE,,,http://www.haringey.gov.uk/sq/services/bdm.htm,51.59860594381522,-0.11968718226807112,,,
Civic Centre,Station Road,Harrow,,HA1 2XF,,,http://www.harrow.gov.uk/site/scripts/documents.php?categoryID=100003,51.585236532326725,-0.3296862101141752,,,
Langtons House,Billet Lane,Hornchurch,,RM11 1XL,,,http://www.havering.gov.uk/index.cfm?articleid=2435&contactid=2404,51.56566905330926,0.21842451061292137,,,
Civic Centre,High Street,Uxbridge,,UB8 1UW,,,http://www.hillingdon.gov.uk/index.jsp?articleid=9657,51.543839481674226,-0.4765975512654285,,,
88 Lampton Road,Hounslow,,,TW3 4DW,,,http://www.hounslow.gov.uk/index/community_and_living.htm,51.473741816910696,-0.36675023332049234,,,
Islington Town Hall,Upper Street,London,,N1 2UD,,,http://www.islington.gov.uk/Community/birthsdeathsandmarriages/default.asp,51.54163186295603,-0.10194807079042999,,,
Chelsea Old Town Hall,Kings Road,London,,SW3 5EE,,,http://www.rbkc.gov.uk/BirthsDeathsAndMarriages/General/default.asp,51.487470954778324,-0.16818032126586466,,,
35 Coombe Road,Kingston upon Thames,,,KT2 7BA,,,"http://www.kingston.gov.uk/community,_people_and_living/rbdm.htm",51.41304772869453,-0.2833663950649957,,,
Lambeth Town Hall,London,,,SW2 1RW,,,http://www.lambeth.gov.uk/Services/CommunityLiving/CivilCeremonies/RegisterOffice.htm,51.460661986673394,-0.11695527506895788,,,
368 Lewisham High Street,London,,,SE13 6LQ,,,http://www.lewisham.gov.uk/CommunityAndLiving/BirthsDeathsAndMarriages/,51.45438559511973,-0.0166453730310732,,,
Morden Park House,London Road,Morden,,SM4 5QU,,,http://www.merton.gov.uk/register/,51.393349958266256,-0.20682850624184784,,,
207 Plashet Grove,East Ham,London,,E6 1BT,,,http://www.newham.gov.uk/Services/RegisterOffice/intouch.htm ,51.53958783489205,0.04534516359230364,,,
Queen Victoria House,794 Cranbrook Road,Ilford,,IG6 1JS,,,http://www.redbridge.gov.uk/cms/a_to_z_of_services/r/register_office.aspx,51.585495630289394,0.0796114880079424,,,
1 Spring Terrace,Richmond,Surrey,,TW9 1LW,,,http://www.richmond.gov.uk/home/community_and_living/birth_marriage_and_death.htm,51.46069275810432,-0.2996165385453807,,,
34 Peckham Road,London,,,SE5 8QA,,,http://www.southwark.gov.uk/YourServices/BirthsDeathsMarriages/,51.47323554537853,-0.08267075030697463,,,
Russettings,25 Worcester Road,Sutton,,SM2 6PR,,,http://www.sutton.gov.uk/index.aspx?articleid=3555,51.35629625234715,-0.19543558960405447,,,
Bromley Public Hall,Bow Road,London,,E3 3AA,,,"http://www.towerhamlets.gov.uk/lgnl/advice_and_benefits/births,_marriages_and_deaths.aspx",51.5278820880331,-0.020329735908296,,,
106 Grove Road,Walthamstow,,,E17 9BY,,,http://www.walthamforest.gov.uk/register-office.htm,51.57898971149697,-0.010387757616632102,,,
Wandsworth High Street,Wandsworth High Street,,,SW18 2PU,,,http://www.wandsworth.gov.uk/Home/CommunityServices/RegisterOffice/default.htm ,51.457383431938986,-0.19086150051615997,,,
Westminster Council House,Marylebone Road,London,,NW1 5PT,,,http://www.westminster.gov.uk/communityandliving/registrar/,51.52120831179265,-0.15997997471120454,,,
Mere Hall,Merehall Street,Bolton,,BL1 2QT,,,http://www.bolton.gov.uk,53.58710895942112,-2.439052147236716,,,
Town Hall,Manchester Road,Bury,,BL9 0SW,,,http://www.bury.gov.uk/LifeEvents/Default.htm,53.59017229297228,-2.2999911477922694,,,
Heron House,47 Lloyd Street,Manchester,,M2 5LE,,,http://www.manchester.gov.uk/registrars/,53.479234823293865,-2.246183768441137,,,
Chadderton Town Hall,Middleton Road,Oldham,,OL9 6PP,,,http://www.oldham.gov.uk/a-z_of_services/cs-registrars.htm ,53.54499812494316,-2.137245476942533,,,
Town Hall,Vicars Gate,Rochdale,,OL16 1AB,,,http://www.rochdale.gov.uk/community_and_living/births/birth_-_historical_searches.aspx,53.61656246351073,-2.159321441307647,,,
Salford Civic Centre ,Chorley Road,Swinton,,M27 5DA,,,http://www.salford.gov.uk/bmd.htm ,53.51104923479083,-2.3397079059041856,,,
Town Hall,John Street Entrance,Stockport,,SK1 3XE,,,http://www.stockport.gov.uk/services/communitypeopleliving/birthsmarriagesdeaths/stockportregisteroffice/?view Standard,53.40597438572308,-2.1584871606506812,,,
Dukinfield Town Hall,King Street,Dukinfield,,SK16 4LA,,,http://www.tameside.gov.uk/tmbc2/registrarsoffice.htm ,53.47802384343137,-2.0923843335014345,,,
Sale Town Hall,Sale Waterside,Sale,,M33 7ZF,,,http://www.trafford.gov.uk/CommunityAndLiving,53.42511072432326,-2.3200003735995347,,,
Town Hall,Library Street,Wigan,,WN1 1YN,,,http://www.wigan.gov.uk/Services/CommunityLiving/BirthsDeathsMarriages/,53.54509753470858,-2.6299600026913414,,,
High Street,Prescot,Knowsley,,L34 3LH,,,"http://www.knowsley.gov.uk/residents/births,-deaths,-and-marriages.aspx",,,,,
The Cotton Exchange,Old Hall Street,Liverpool,,L3 9UF,,,http://www.liverpool.gov.uk/registrars_office/index.asp,53.40938400722334,-2.992862486893414,,,
Central Street,St. Helens,,,WA10 1UJ,,,http://www.sthelens.gov.uk/CMSWEB/item.do?parentID=100001&category=200010&itemid=319,53.457777014252386,-2.7362432275040707,,,
Corporation Street,Southport,,,PR8 1DA,,,http://www.sefton.gov.uk/Default.aspx?page=1746,53.647561347603144,-3.0055154142733653,,,
Town Hall,Brighton Street,Wallasey,,CH44 8ED,,,http://www.wirral.gov.uk/LGCL/100003/,53.41569832580542,-3.023251983137565,,,
Church Street,Barnsley,,,S70 2TA,,,http://www.barnsley.gov.uk/bguk/Community/Registrars,53.554153141750504,-1.482857153881214,,,
Elmfield Park,South Parade,Doncaster,,DN1 2EB,,,http://www.doncaster.gov.uk/Living_in_Doncaster/Life_Events/Life_Events.asp?lifeevents,53.52026376994403,-1.1242274415999303,,,
Bailey House,Rawmarsh Road,Rotherham,,S60 1TX,,,http://www.rotherham.gov.uk/graphics/YourCouncil/Register+Office/ ,53.43468922724401,-1.357402580113674,,,
Town Hall,Pinstone Street,Sheffield,,S1 2HH,,,http://www.sheffield.gov.uk/your-city-council/register-office,53.38037402407484,-1.4698106838237668,,,
Gateshead Civic Centre,Regent Street,Gateshead,,NE8 1HH,,,http://www.gateshead.gov.uk/People%20and%20Living/marriages/Home.aspx,54.95948574968387,-1.6032158548552007,,,
Civic Centre,Newcastle Upon Tyne,,,NE1 8PS,,,http://www.newcastle.gov.uk/registrars.nsf/a/homepage?opendocument ,54.97850474740661,-1.6100280127033697,,,
Maritime Chambers,1 Howard Street,North Shields,,NE30 1LZ,,,http://www.northtyneside.gov.uk/browse.shtml?p_subjectCategory=366,55.0073452136218,-1.4423885986468135,,,
10 Broughton Road,South Shields,,,NE33 2RN,,,http://www.southtyneside.info/communitysupport/register/default.asp,54.99491946415584,-1.4273992357744136,,,
Civic Centre,Sunderland,,,SR2 7DN,,,http://www.sunderland.gov.uk/Public/Editable/Life-Episodes/BDM/birth/opening_hours.asp?AltCrumb=When%20can%20I%20register%20the%20birth?,54.90139307659889,-1.382302281844365,,,
Holiday Wharf,Holiday Street,Birmingham,,B1 1TJ ,,,http://www.birmingham.gov.uk/registeroffice.bcc,52.47518982650231,-1.9091036754221473,,,
Cheylesmore Manor House,Manor House Drive,Coventry,,CV1 2ND,,,http://www.coventry.gov.uk/ccm/navigation/council--government-and-democracy/council/register-office/,52.404893237463774,-1.5112098861863554,,,
Priory Hall,Priory Park,Dudley,,DY1 4EU,,,http://www.dudley.gov.uk/community-and-living/registration-service,52.51678926598749,-2.0863558801274036,,,
Highfields,High Street,West Bromwich,,B70 8RJ,,,http://www.laws.sandwell.gov.uk/ccm/navigation/community-and-living/life-events/,52.521990140392944,-1.997981513887972,,,
Library Square,Solihull,,,B91 9RG,,,http://www.solihull.gov.uk/community/default.htm,52.413681556392206,-1.7752356252265094,,,
Civic Centre,Hatherton Road,Walsall,,WS1 1TN,,,http://www.walsall.gov.uk/index/community_and_living.htm,52.58646381459159,-1.980872388769444,,,
Civic Centre,St. Peter's Square,Wolverhampton,,WV1 1RU,,,http://www.wolverhampton.gov.uk/community_living/life_events/,52.587140231530036,-2.1296379498733358,,,
22 Manor Row,Bradford,,,BD1 4QR,,,http://www.bradford.gov.uk/information_and_communication/information_management/register_office/,53.80220469878276,-1.755860931521758,,,
4 Carlton Street,Halifax,,,HX1 2AH,,,http://www.calderdale.gov.uk/advice/life-events/register-office/certificate-fee.html,,,,,
11 High Street,Huddersfield,,,HD1 2PL,,,http://www.kirklees.gov.uk/registeroffices ,53.644392946709445,-1.7846052232309206,,,
Leeds Town Hall,The Headrow,Leeds,,LS1 3AD,,,http://www.leeds.gov.uk/register ,53.80037697716202,-1.5497053026799108,,,
