id,bsf_scheme_id,bsf_business_type_id
1165,196,2
1166,196,3
1167,196,4
1168,196,5
1169,194,1
1170,194,2
1171,194,3
1172,194,4
1173,195,1
1174,195,2
1175,195,3
1176,195,4
1177,190,6
1178,190,1
1179,190,2
1180,190,3
1181,190,4
1182,185,6
1183,185,1
1184,185,2
1185,185,3
1186,185,4
1187,191,6
1188,191,1
1189,191,2
1190,191,3
1191,191,4
1192,192,1
1193,192,2
1194,192,3
1195,182,4
1196,180,6
1197,180,1
1198,180,2
1199,180,3
1200,180,4
1201,193,1
1202,193,2
1203,193,3
1204,193,4
1205,181,1
1206,181,2
1207,181,3
1208,181,4
1209,184,6
1210,184,1
1211,184,2
1212,184,3
1213,188,1
1214,188,2
1215,188,3
1216,188,4
1217,178,6
1218,178,1
1219,178,2
1220,178,3
1221,178,4
1222,197,1
1223,197,2
1224,197,3
1225,197,4
1226,201,1
1227,201,3
1228,201,4
1229,179,6
1230,179,1
1231,179,2
1232,179,3
1233,179,4
1234,200,6
1235,200,1
1236,200,2
1237,200,3
1238,183,6
1239,199,1
1240,199,2
1241,199,3
1242,186,6
1243,186,1
1244,186,2
1245,186,3
1246,186,4
1247,189,6
1248,189,1
1249,189,2
1250,189,3
1251,189,4
1252,196,1
1253,196,2
1254,196,3
1255,196,4
1256,196,5
1257,194,1
1258,194,2
1259,194,3
1260,194,4
1261,195,1
1262,195,2
1263,195,3
1264,195,4
1265,190,6
1266,190,1
1267,190,2
1268,190,3
1269,190,4
1270,185,6
1271,185,1
1272,185,2
1273,185,3
1274,185,4
1275,191,6
1276,191,1
1277,191,2
1278,191,3
1279,191,4
1280,192,1
1281,192,2
1282,192,3
1283,182,4
1284,180,6
1285,180,1
1286,180,2
1287,180,3
1288,180,4
1289,193,1
1290,193,2
1291,193,3
1292,193,4
1293,181,1
1294,181,2
1295,181,3
1296,181,4
1297,203,1
1298,203,2
1299,203,3
1300,210,6
1301,210,1
1302,210,2
1303,210,3
1304,212,6
1305,212,1
1306,212,2
1307,212,3
1308,209,6
1309,209,1
1310,209,2
1311,209,3
1312,211,6
1313,211,1
1314,211,2
1315,211,3
1316,225,1
1317,225,2
1318,225,3
1319,213,6
1320,213,1
1321,213,2
1322,213,3
1323,216,6
1324,216,1
1325,216,2
1326,216,3
1327,216,4
1328,219,1
1329,219,2
1330,219,3
1331,219,4
1332,221,6
1333,221,1
1334,221,2
1335,221,3
1336,224,1
1337,224,2
1338,224,3
1339,224,4
1340,208,1
1341,208,2
1342,208,3
1343,223,1
1344,223,2
1345,223,3
1346,202,6
1347,202,1
1348,202,2
1349,202,3
1350,202,4
1351,222,1
1352,222,2
1353,222,3
1354,222,4
1355,204,1
1356,204,2
1357,204,3
1358,218,1
1359,218,2
1360,218,3
1361,215,6
1362,215,1
1363,215,2
1364,215,3
1365,215,4
1366,214,1
1367,214,2
1368,214,3
1369,214,4
1370,203,1
1371,203,2
1372,203,3
1373,210,6
1374,210,1
1375,210,2
1376,210,3
1377,212,6
1378,212,1
1379,212,2
1380,212,3
1381,209,6
1382,209,1
